epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,25950.3,0.49124,0.41525,0.91601,0.97523,0.94138,0.96965,0.90852,0.36842,0.35953,0.84635,0.00406,0.00406,0.00406
62,26308.7,0.47667,0.39836,0.90591,0.96473,0.96223,0.98388,0.924,0.34982,0.33575,0.83729,0.003961,0.003961,0.003961
63,26668.7,0.46293,0.39208,0.90452,0.98045,0.9395,0.98381,0.92905,0.35243,0.3387,0.85314,0.003862,0.003862,0.003862
64,27029.9,0.4654,0.38851,0.90362,0.95963,0.95632,0.97708,0.92215,0.34528,0.36383,0.84357,0.003763,0.003763,0.003763
65,27390.9,0.4616,0.38583,0.90559,0.9646,0.95546,0.98285,0.93396,0.33468,0.32801,0.83274,0.003664,0.003664,0.003664
66,27759.2,0.45157,0.37448,0.89918,0.98203,0.94722,0.98857,0.93887,0.32683,0.31234,0.83823,0.003565,0.003565,0.003565
67,28121.8,0.46074,0.39218,0.90408,0.97409,0.9751,0.98704,0.93932,0.32638,0.31844,0.83149,0.003466,0.003466,0.003466
68,28484.2,0.43277,0.37259,0.89538,0.95683,0.98942,0.99086,0.94261,0.32877,0.30616,0.83414,0.003367,0.003367,0.003367
69,28847.4,0.44626,0.38461,0.90644,0.94198,0.97079,0.97892,0.93088,0.34066,0.34321,0.84586,0.003268,0.003268,0.003268
70,29209.4,0.44734,0.37719,0.89361,0.9817,0.95672,0.9883,0.9433,0.31208,0.30596,0.82166,0.003169,0.003169,0.003169
